Student,College,Honours,Program,Program Code,Faculty,學院
WS 2,WS,2,Integrated BBA Programme,IBBA,Faculty of Business Administration,工商管理學院
WS 3,WS,3,Integrated BBA Programme,IBBA,Faculty of Business Administration,工商管理學院
CC 3,CC,3,Integrated BBA Programme,IBBA,Faculty of Business Administration,工商管理學院
NA 2,NA,2,Integrated BBA Programme,IBBA,Faculty of Business Administration,工商管理學院
CC 2,CC,2,Integrated BBA Programme,IBBA,Faculty of Business Administration,工商管理學院
CC 2,CC,2,Integrated BBA Programme,IBBA,Faculty of Business Administration,工商管理學院
NA 2,NA,2,Integrated BBA Programme,IBBA,Faculty of Business Administration,工商管理學院
YS 2,YS,2,Integrated BBA Programme,IBBA,Faculty of Business Administration,工商管理學院
WS 2,WS,2,Integrated BBA Programme,IBBA,Faculty of Business Administration,工商管理學院
SC 2,SC,2,Integrated BBA Programme,IBBA,Faculty of Business Administration,工商管理學院
