Student,College,Honours,Program,Program Code,Faculty,學院
SH 3,SH,3,Integrated BBA Programme,IBBA,Faculty of Business Administration,工商管理學院
UC 2,UC,2,Integrated BBA Programme,IBBA,Faculty of Business Administration,工商管理學院
MC 4,MC,4,Integrated BBA Programme,IBBA,Faculty of Business Administration,工商管理學院
YS 3,YS,3,Integrated BBA Programme,IBBA,Faculty of Business Administration,工商管理學院
CC 3,CC,3,Integrated BBA Programme,IBBA,Faculty of Business Administration,工商管理學院
YS 2,YS,2,Integrated BBA Programme,IBBA,Faculty of Business Administration,工商管理學院
NA 2,NA,2,Integrated BBA Programme,IBBA,Faculty of Business Administration,工商管理學院
NA 3,NA,3,Integrated BBA Programme,IBBA,Faculty of Business Administration,工商管理學院
CC 4,CC,4,Integrated BBA Programme,IBBA,Faculty of Business Administration,工商管理學院
CW 2,CW,2,Integrated BBA Programme,IBBA,Faculty of Business Administration,工商管理學院
